5050 Bill Bryson   UNITED STATES
5132 Charlize Theron   SOUTH AFRICA
5142 Charlie Chaplin   UNITED KINGDOM
5233 Carl Linnaeus   SWEDEN
5314 Charlemagne   Belgium
5635 Christopher Columbus   ITALY
5654 Caspar David Friedrich   GERMANY
145534 Brad Delson   UNITED STATES
5693 Claude Elwood Shannon   UNITED STATES
5698 Charles Babbage   UNITED KINGDOM
5766 Clement Attlee   United Kingdom
5768 Catullus   ITALY
5771 Christopher Marlowe   UNITED KINGDOM
5790 Carlo Goldoni   ITALY
5804 Charles Baudelaire   FRANCE
5813 C. S. Lewis   UNITED KINGDOM
5823 Confucius   China
5884 Charles Dickens   United Kingdom
6046 Cicero   Italy
6066 Carl von Clausewitz   GERMANY
6125 Carl Friedrich Gauss   Germany
6140 Claudius   France
6176 Cecil B. DeMille   UNITED STATES
6185 Chuck Yeager   UNITED STATES
6195 Calvin Coolidge   United States
6226 Claudio Monteverdi   ITALY
6255 Carl Menger   POLAND
6260 Claude Debussy   France
6290 Christian Goldbach   Russia
6452 Charles Martel   Belgium
6532 Charlotte Brontë   United Kingdom
6542 Czesław Miłosz   LITHUANIA
6548 Claude Monet   FRANCE
6561 Columba   Ireland
6585 Constantin Brancusi   ROMANIA
20405 Miles Davis   UNITED STATES
6746 Constantius II   Serbia
6747 Constans   Turkey
167790 Christopher Walken   UNITED STATES
6852 Caligula   ITALY
6859 Chiang Kai-shek   China
6878 Carlos Valderrama   Colombia
6928 Colette   France
6942 Catherine of Aragon   SPAIN
232669 Tony Bennett   UNITED STATES
6991 Cimabue   ITALY
7015 Christiaan Barnard   SOUTH AFRICA
7018 Caravaggio   ITALY
7019 Jean-Baptiste-Siméon Chardin   FRANCE
7080 Christian Doppler   AUSTRIA
7119 William Kidd   United Kingdom
7234 Constantine II   France
7236 Constantine I   SERBIA
7246 Charles Messier   France
7342 Clement of Alexandria   Greece
7345 Carl Barks   United States
7362 Casimir III of Poland   POLAND
7383 Cyril of Alexandria   Egypt
7387 Cyril of Jerusalem   Israel
7426 Charles I of England   United Kingdom
7434 Camille Pissarro   US Virgin Islands
7437 Carlo Collodi   ITALY
7471 Catherine of Siena   ITALY
7472 Charles Lyell   UNITED KINGDOM
7478 Cuauhtémoc   Mexico
7504 Cesare Borgia   Italy
21189364 James Earl Ray   United States
7550 Craig Venter   UNITED STATES
300531 Eugene Andrew Cernan   UNITED STATES
7573 Clive Barker   UNITED KINGDOM
7628 Christine de Pizan   Italy
7668 Charles Mingus   UNITED STATES
7756 Chet Atkins   United States
7824 Colin Maclaurin   UNITED KINGDOM
145532 Mike Shinoda   UNITED STATES
7888 D. W. Griffith   UNITED STATES
7891 David Lynch   UNITED STATES
7892 David Cronenberg   CANADA
7925 David Hume   UNITED KINGDOM
8079 David Fincher   UNITED STATES
8081 Douglas Engelbart   UNITED STATES
1004027 Carlos Bocanegra   UNITED STATES
8091 Douglas Adams   UNITED KINGDOM
8095 Donald Knuth   UNITED STATES
8099 Dave Grohl   United States
8138 Dino Zoff   ITALY
8169 Dante Alighieri   ITALY
173691 Jeff Buckley   UNITED STATES
8182 Dwight D. Eisenhower   United States
8193 Daniel Defoe   UNITED KINGDOM
8199 Denis Diderot   France
8205 Deng Xiaoping   China
8211 Democritus   Greece
391213 Patrick McGoohan   UNITED STATES
8300 Doris Day   UNITED STATES
8302 David Hilbert   Russia
8340 David Letterman   UNITED STATES
8362 Diego de Almagro   SPAIN
284527 Leo Fender   UNITED STATES
8467 Draco   Unknown
8470 David Ricardo   UNITED KINGDOM
8474 Arthur Wellesley, 1st Duke of Wellington   IRELAND
8485 Diego Maradona   ARGENTINA
8487 David Brewster   UNITED KINGDOM
8520 Dmitri Shostakovich   Russia
8551 David   Palestine
8580 Diocletian   Croatia
8592 Domitian   ITALY
8618 David Beckham   UNITED KINGDOM
930254 Clinton Davisson   UNITED STATES
8663 Gabriel Fahrenheit   POLAND
8716 Dolly Parton   United States
912656 G. Stanley Hall   UNITED STATES
8778 Daniel Ortega   NICARAGUA
8783 Dylan Thomas   UNITED KINGDOM
8786 David Bowie   United Kingdom
8791 Dennis Hopper   UNITED STATES
8799 D. B. Cooper   Unknown
1985166 David Morse   UNITED STATES
524276 Gary Sinise   UNITED STATES
8910 Dean Koontz   United States
8927 Don Rosa   UNITED STATES
8930 Dziga Vertov   POLAND
8945 Derek Walcott   SAINT LUCIA
671265 Al Oerter   United States
461567 Lewis Henry Morgan   UNITED STATES
9039 Django Reinhardt   BELGIUM
9072 Jacques-Louis David   France
9110 Diophantus   Egypt
9238 Ernst Mayr   Germany
9288 Elvis Presley   UNITED STATES
9299 Erasmus Darwin   UNITED KINGDOM
9321 Edward Sapir   Poland
9331 Euclid   Unknown
152277 Jane Addams   UNITED STATES
3986 Benjamin Franklin   UNITED STATES
9480 Edmund Stoiber   Germany
9482 Enya   Ireland
9505 Elias Canetti   Bulgaria
4370448 Milorad Čavić   UNITED STATES
9514 Edvard Grieg   NORWAY
9516 Erwin Rommel   GERMANY
9518 Edmund Husserl   CZECH REPUBLIC
9536 Edmund Spenser   UNITED KINGDOM
8756 Daniel Dennett   UNITED STATES
9553 Empedocles   ITALY
9469 Eric S. Raymond   UNITED STATES
9603 Ernest Rutherford   NEW ZEALAND
9615 Édouard Manet   FRANCE
9627 Elizabeth Barrett Browning   UNITED KINGDOM
16380 James Tobin   UNITED STATES
9658 Eugène Viollet-le-Duc   FRANCE
9668 Ernst Haeckel   GERMANY
